S. No.,Pressure (hPa),Height (m),Temp (K),Temp Gradient,Windshear,Cn^2
494,819,1826,299.55,0.023,0.3549,1.50E+01
495,809,1933,298.95,-0.006,0.1389,1.70E+01
496,777,2286,296.95,-0.006,0.3549,1.70E+01
497,768,2386,295.95,-0.01,0.3087,1.90E+01
498,700,3181,288.35,-0.01,0.1698,1.90E+01
499,661,3660,284.45,-0.008,0.0618,1.80E+01
5,952,471,307.55,0,0.324,1.60E+01
50,190,12885,221.25,-0.009,0.1389,1.90E+01
500,639,3943,282.15,-0.008,0.108,1.80E+01
501,620,4192,279.95,-0.009,0.1236,1.80E+01
502,566,4929,275.05,-0.007,0.1236,1.70E+01
503,537,5354,272.25,-0.007,0.0309,1.70E+01
504,532,5429,272.65,0.005,0,1.60E+01
505,500,5920,268.25,-0.009,0.0309,1.80E+01
506,498,5951,267.95,-0.01,1.0032,1.80E+01
507,478,6268,265.05,-0.009,0.2007,1.80E+01
508,450,6735,260.85,-0.009,0.0618,1.80E+01
509,447,6786,263.65,0.055,0,1.50E+01
51,188,12953,220.85,-0.006,0.2316,1.70E+01
510,430,7084,263.45,-0.001,0.108,1.60E+01
511,415,7358,263.25,-0.001,0.2778,1.60E+01
512,413,7395,263.25,0,0,1.60E+01
513,401,7621,261.55,-0.008,0,1.80E+01
514,400,7640,261.45,-0.005,0,1.70E+01
515,392,7793,260.25,-0.008,0.108,1.80E+01
516,361,8418,255.45,-0.008,0.1542,1.80E+01
517,350,8645,253.95,-0.007,0.1389,1.70E+01
518,328,9123,250.85,-0.006,0.324,1.70E+01
519,301,9756,246.65,-0.007,0.0462,1.80E+01
52,183,13127,219.85,-0.006,0.0927,1.80E+01
520,300,9780,246.45,-0.008,0,1.80E+01
521,280,10274,242.45,-0.008,0.0618,1.80E+01
522,250,11070,236.85,-0.007,0.0462,1.80E+01
523,200,12580,224.65,-0.008,0.0309,1.80E+01
524,1000,31,305.15,0.105,4.0587,8.00E+00
525,998,49,306.45,0.072,0.8643,1.30E+01
526,994,85,308.95,0.069,0.432,1.40E+01
527,990,122,309.75,0.022,0,1.50E+01
528,975,261,310.65,0.006,0.3396,1.50E+01
529,970,308,310.95,0.006,0.324,1.50E+01
53,169,13635,215.85,-0.008,0.0309,1.80E+01
530,950,499,310.35,-0.003,0.4011,1.60E+01
531,925,741,308.55,-0.007,0.3858,1.70E+01
532,892,1067,305.65,-0.009,0.2316,1.80E+01
533,850,1499,301.75,-0.009,0.1851,1.80E+01
534,760,2477,292.55,-0.009,0.0927,1.80E+01
535,745,2647,291.45,-0.006,0.0927,1.70E+01
536,719,2950,289.45,-0.007,0.1542,1.70E+01
537,710,3058,288.75,-0.006,0.2931,1.70E+01
538,706,3106,289.05,0.006,0.324,1.50E+01
539,705,3118,289.15,0.008,0,1.60E+01
54,163,13863,214.05,-0.008,0.0618,1.80E+01
540,700,3178,288.95,-0.003,0.5094,1.60E+01
541,696,3225,288.55,-0.009,0.324,1.80E+01
542,662,3633,285.25,-0.008,0.1851,1.70E+01
543,626,4089,281.65,-0.008,0.2007,1.70E+01
544,579,4725,276.45,-0.008,0.0462,1.80E+01
545,565,4924,274.85,-0.008,0.3087,1.70E+01
546,539,5308,271.75,-0.008,0.2778,1.70E+01
547,506,5823,267.65,-0.008,0.2469,1.70E+01
548,500,5920,266.85,-0.008,0,1.80E+01
549,453,6678,259.85,-0.009,0.0618,1.80E+01
55,160,13979,213.25,-0.007,0.1389,1.80E+01
550,445,6814,261.45,0.012,0.108,1.60E+01
551,436,6970,263.25,0.012,0.0927,1.60E+01
552,430,7077,263.25,0,0,1.60E+01
553,423,7203,263.25,0,0.1236,1.60E+01
554,407,7497,261.55,-0.006,0.108,1.70E+01
555,400,7630,260.85,-0.005,0.3549,1.70E+01
556,378,8059,258.45,-0.006,0.0309,1.70E+01
557,370,8221,257.65,-0.005,0.1851,1.70E+01
558,365,8325,257.05,-0.006,0,1.70E+01
559,327,9142,250.65,-0.008,0.0771,1.80E+01
56,157,14097,212.55,-0.006,0,1.80E+01
560,300,9770,246.65,-0.006,0.0462,1.70E+01
561,287,10088,244.25,-0.008,0.0462,1.80E+01
562,263,10703,239.45,-0.008,0.0309,1.80E+01
563,250,11060,236.65,-0.008,0,1.80E+01
564,225,11773,230.85,-0.008,0.1698,1.80E+01
565,200,12570,224.45,-0.008,0.0771,1.80E+01
566,1000,37,316.35,-0.04,0.6174,1.40E+01
567,991,121,313.75,-0.031,0.1851,1.50E+01
568,974,280,312.35,-0.009,0.2931,1.80E+01
569,962,394,311.35,-0.009,0,1.80E+01
570,946,547,309.95,-0.009,0,1.80E+01
571,925,752,307.95,-0.01,0.1542,1.90E+01
572,898,1018,306.05,-0.007,0.0618,1.70E+01
573,877,1230,304.55,-0.007,0.2931,1.70E+01
574,850,1511,302.55,-0.007,0.1698,1.70E+01
575,714,3021,289.05,-0.009,0.0771,1.80E+01
576,700,3193,287.55,-0.009,0.1851,1.80E+01
577,692,3290,286.55,-0.01,0.324,1.90E+01
578,648,3830,282.35,-0.008,0.2931,1.70E+01
579,638,3958,281.35,-0.008,0.2469,1.70E+01
580,589,4616,276.25,-0.008,0.1698,1.80E+01
581,575,4814,274.75,-0.008,0.3087,1.70E+01
582,559,5039,272.75,-0.009,0.2778,1.80E+01
583,545,5242,270.95,-0.009,0.0771,1.80E+01
584,538,5345,270.05,-0.009,0.6018,1.80E+01
585,535,5389,269.85,-0.005,0.6945,1.60E+01
586,528,5493,269.45,-0.004,0.4476,1.60E+01
587,523,5568,268.75,-0.009,0.6174,1.80E+01
588,504,5858,265.85,-0.01,0.108,2.00E+01
589,500,5920,265.45,-0.006,0,1.70E+01
590,478,6269,262.65,-0.008,0.1698,1.80E+01
591,473,6350,262.05,-0.007,0.1851,1.70E+01
592,467,6448,261.15,-0.009,0.1542,1.80E+01
593,465,6481,260.85,-0.009,0,1.90E+01
594,456,6631,259.65,-0.008,0.108,1.80E+01
595,455,6647,259.45,-0.013,0,1.70E+01
596,449,6749,260.65,0.012,0,1.60E+01
597,448,6766,260.65,0,0,1.60E+01
598,447,6783,261.35,0.041,0,1.50E+01
599,445,6817,262.65,0.038,0,1.50E+01
6,925,730,306.15,-0.005,0.4785,1.60E+01
600,427,7136,264.05,0.004,0.2007,1.60E+01
601,416,7338,262.95,-0.005,0.2316,1.70E+01
602,400,7640,261.25,-0.006,0.1542,1.70E+01
603,392,7793,260.35,-0.006,0.4011,1.70E+01
604,380,8028,258.85,-0.006,0.0618,1.70E+01
605,375,8128,258.25,-0.006,0.1542,1.70E+01
606,355,8543,255.65,-0.006,0.0309,1.70E+01
607,350,8648,254.85,-0.008,0,1.80E+01
608,300,9780,246.05,-0.008,0.0771,1.80E+01
609,263,10717,238.85,-0.008,0.0153,1.80E+01
61,978,234,309.85,-0.009,0.7098,1.70E+01
610,250,11070,236.25,-0.007,0,1.80E+01
611,200,12570,224.45,-0.008,0.0309,1.80E+01
612,1000,42,303.95,0.087,2.5773,1.10E+01
613,998,60,306.75,0.156,0,1.40E+01
614,991,124,309.55,0.044,0.2469,1.40E+01
615,981,216,310.15,0.007,0.3396,1.50E+01
616,972,300,311.15,0.012,0.1851,1.50E+01
617,967,348,311.15,0,0.324,1.60E+01
618,940,606,309.25,-0.007,0.2469,1.70E+01
619,925,752,308.15,-0.008,0.4167,1.70E+01
62,925,742,305.15,-0.009,0.0927,1.80E+01
620,895,1048,305.75,-0.008,0.1542,1.70E+01
621,850,1510,301.95,-0.008,0.0309,1.80E+01
622,834,1677,300.45,-0.009,0.0927,1.80E+01
623,802,2022,297.45,-0.009,0.1389,1.80E+01
624,801,2033,297.35,-0.009,0,1.80E+01
625,750,2599,293.25,-0.007,0.1389,1.70E+01
626,734,2785,291.85,-0.008,0,1.80E+01
627,712,3047,289.95,-0.007,0.2316,1.70E+01
628,707,3107,289.35,-0.01,0.2622,1.90E+01
629,700,3191,288.55,-0.01,0.7407,1.90E+01
63,919,801,304.25,-0.015,0.2622,1.60E+01
630,683,3396,286.85,-0.008,0.0771,1.80E+01
631,650,3810,283.35,-0.008,0.2622,1.70E+01
632,637,3978,281.95,-0.008,0.0927,1.80E+01
633,628,4097,280.95,-0.008,0.2622,1.70E+01
634,623,4163,281.15,0.003,0.2316,1.60E+01
635,621,4189,280.95,-0.008,0,1.80E+01
636,597,4505,277.85,-0.01,0,2.00E+01
637,575,4806,274.95,-0.01,0.1542,1.90E+01
638,532,5429,268.95,-0.01,0.0771,2.00E+01
639,517,5658,266.65,-0.01,0.1389,2.00E+01
64,917,820,303.95,-0.016,0,1.60E+01
640,514,5705,266.25,-0.009,0.324,1.80E+01
641,510,5766,265.95,-0.005,0.2469,1.70E+01
642,501,5904,265.35,-0.004,0.4476,1.60E+01
643,500,5920,265.25,-0.006,0,1.70E+01
644,481,6219,262.85,-0.008,0.2622,1.70E+01
645,475,6315,262.55,-0.003,0.324,1.60E+01
646,448,6764,261.35,-0.003,0.2778,1.60E+01
647,441,6885,261.05,-0.002,0.5094,1.60E+01
648,436,6972,261.25,0.002,0.5247,1.60E+01
649,421,7240,261.85,0.002,0.1698,1.60E+01
65,850,1495,299.75,-0.006,0.0462,1.70E+01
650,400,7630,259.85,-0.005,0.2007,1.70E+01
651,382,7974,257.55,-0.007,0,1.80E+01
652,351,8606,253.45,-0.006,0,1.70E+01
653,333,8999,250.85,-0.007,0.0462,1.80E+01
654,322,9245,249.95,-0.004,0,1.70E+01
655,310,9522,248.95,-0.004,0.3858,1.70E+01
656,309,9546,248.85,-0.004,0,1.70E+01
657,300,9760,247.05,-0.008,0.1389,1.80E+01
658,262,10718,238.85,-0.009,0.0618,1.90E+01
659,250,11050,236.05,-0.008,0.0462,1.80E+01
66,849,1505,299.75,0,0,1.60E+01
660,247,11131,235.35,-0.009,0.1851,1.90E+01
661,216,12036,227.85,-0.008,0,1.80E+01
663,1000,54,314.95,0.013,4.3365,1.00E+01
664,973,306,311.35,-0.014,0.1236,1.70E+01
665,950,525,308.15,-0.015,0.216,1.60E+01
666,925,767,305.95,-0.009,0.0618,1.80E+01
667,920,816,305.75,-0.004,0,1.70E+01
668,913,885,306.95,0.017,0.216,1.50E+01
669,850,1525,301.95,-0.008,0.1236,1.70E+01
67,824,1768,298.45,-0.005,0.2931,1.60E+01
670,828,1754,300.25,-0.007,0.2007,1.70E+01
671,802,2033,298.25,-0.007,0.216,1.70E+01
672,786,2209,296.95,-0.007,0.1698,1.70E+01
673,750,2618,293.95,-0.007,0.0309,1.70E+01
674,737,2768,292.65,-0.009,0,1.80E+01
675,728,2872,291.75,-0.009,0,1.80E+01
676,700,3207,288.75,-0.009,0.0927,1.80E+01
677,681,3434,286.85,-0.008,0.2007,1.70E+01
678,646,3870,283.05,-0.009,0.2469,1.80E+01
679,600,4480,277.85,-0.009,0.1542,1.80E+01
68,818,1832,298.15,-0.005,0,1.70E+01
680,585,4689,276.05,-0.009,0.216,1.80E+01
681,568,4932,273.95,-0.009,0.2469,1.80E+01
682,563,5002,273.35,-0.009,0.216,1.80E+01
683,554,5130,272.15,-0.009,0.3549,1.80E+01
684,536,5391,269.75,-0.009,0.1236,1.80E+01
685,515,5707,266.85,-0.009,0.0927,1.80E+01
686,505,5863,265.45,-0.009,0.0927,1.80E+01
687,500,5940,264.65,-0.01,0.2007,1.90E+01
688,493,6048,263.65,-0.009,0.5709,1.80E+01
689,483,6206,262.25,-0.009,0.2931,1.80E+01
69,805,1972,299.15,0.007,0.108,1.60E+01
690,475,6333,261.55,-0.006,0.2469,1.70E+01
691,467,6463,260.85,-0.005,0.7098,1.60E+01
692,462,6545,261.55,0.009,0.7563,1.50E+01
693,459,6595,262.05,0.01,0.6174,1.50E+01
694,457,6628,263.35,0.039,0.9414,1.40E+01
695,455,6662,264.65,0.038,0.4476,1.40E+01
696,450,6747,264.95,0.004,0.54,1.50E+01
697,443,6868,265.25,0.002,0.1236,1.60E+01
698,425,7186,263.05,-0.007,0.0927,1.70E+01
699,400,7650,259.85,-0.007,0.0927,1.70E+01
7,879,1185,302.55,-0.008,0.2007,1.70E+01
70,769,2371,296.75,-0.006,0.0771,1.70E+01
700,399,7669,259.75,-0.005,0,1.70E+01
701,373,8167,256.35,-0.007,0.1851,1.70E+01
702,320,9302,248.65,-0.007,0.0771,1.80E+01
703,309,9561,246.95,-0.007,0.2316,1.70E+01
704,300,9780,245.45,-0.007,0.216,1.70E+01
705,289,10047,243.35,-0.008,0.0618,1.80E+01
706,277,10349,241.05,-0.008,0.2622,1.80E+01
707,275,10401,240.65,-0.008,0,1.80E+01
708,252,11014,237.45,-0.005,0.0771,1.70E+01
709,251,11042,237.15,-0.011,0,1.90E+01
71,753,2554,295.65,-0.006,0,1.70E+01
710,250,11070,236.85,-0.011,0,1.90E+01
711,224,11808,230.45,-0.009,0,1.90E+01
712,200,12570,223.85,-0.009,0.0771,1.90E+01
713,1002,23,302.35,0.145,1.4043,1.20E+01
714,1000,46,302.55,0.009,0.6636,1.50E+01
715,996,82,305.35,0.078,0,1.40E+01
716,994,100,305.35,0,0.8643,1.50E+01
717,991,128,305.95,0.021,0,1.50E+01
718,986,173,309.15,0.071,0,1.40E+01
719,968,341,310.15,0.006,0.1851,1.50E+01
72,738,2729,294.55,-0.006,0.1698,1.70E+01
720,950,512,309.25,-0.005,0.1851,1.60E+01
721,925,754,307.95,-0.005,0.4476,1.60E+01
722,924,764,307.95,0,0,1.60E+01
723,887,1132,306.75,-0.003,0.3396,1.60E+01
724,850,1513,303.95,-0.007,0.3705,1.70E+01
725,846,1555,303.75,-0.005,0,1.70E+01
726,735,2784,292.55,-0.009,0.108,1.80E+01
727,715,3019,290.75,-0.008,0.1389,1.70E+01
728,703,3164,289.65,-0.008,0,1.80E+01
729,700,3200,289.35,-0.008,0,1.80E+01
73,700,3182,290.15,-0.01,0.1698,1.90E+01
730,686,3367,287.85,-0.009,0.3705,1.80E+01
731,656,3735,284.45,-0.009,0.1236,1.80E+01
732,640,3939,282.55,-0.009,0.2316,1.80E+01
733,631,4056,281.55,-0.009,0,1.80E+01
734,617,4241,279.85,-0.009,0.0771,1.80E+01
735,575,4822,274.55,-0.009,0.0309,1.80E+01
736,566,4953,273.35,-0.009,0.1236,1.80E+01
737,515,5697,266.45,-0.009,0.0618,1.80E+01
738,500,5930,264.25,-0.009,0.1389,1.80E+01
739,491,6070,262.85,-0.01,0.324,1.90E+01
74,651,3793,285.65,-0.007,0.1236,1.70E+01
740,488,6117,262.45,-0.009,0.324,1.80E+01
741,486,6149,262.25,-0.006,0.4785,1.70E+01
742,484,6180,263.05,0.026,0.4938,1.50E+01
743,483,6196,263.45,0.025,0,1.50E+01
744,477,6293,265.65,0.023,0.4785,1.50E+01
745,475,6325,265.65,0,0.4785,1.60E+01
746,473,6358,265.45,-0.006,0.4629,1.70E+01
747,463,6521,264.55,-0.006,0.2778,1.70E+01
748,442,6876,262.55,-0.006,0.0462,1.70E+01
749,426,7158,260.95,-0.006,0.108,1.70E+01
75,638,3963,284.35,-0.008,0.0927,1.80E+01
750,415,7358,259.85,-0.006,0.8487,1.60E+01
751,400,7640,258.25,-0.006,0.216,1.70E+01
752,393,7771,257.55,-0.005,0.5865,1.60E+01
753,381,8001,256.25,-0.006,0.3396,1.70E+01
754,316,9386,248.55,-0.006,0.0309,1.70E+01
755,302,9722,246.65,-0.006,0.0927,1.70E+01
756,300,9770,246.05,-0.013,0,1.80E+01
757,295,9888,245.15,-0.008,0.2622,1.80E+01
758,287,10081,243.75,-0.007,0.1542,1.80E+01
759,276,10355,241.65,-0.008,0,1.80E+01
76,553,5117,273.75,-0.009,0.0927,1.80E+01
760,250,11050,236.45,-0.007,0.0153,1.80E+01
761,218,11977,228.75,-0.008,0.0462,1.80E+01
762,200,12560,223.85,-0.008,0,1.80E+01
763,1000,40,317.15,-0.05,1.0956,1.30E+01
764,994,96,315.75,-0.025,0,1.60E+01
765,925,757,309.35,-0.01,0.0309,1.90E+01
766,857,1444,302.75,-0.01,0.108,1.90E+01
767,850,1517,303.55,0.011,0,1.50E+01
768,849,1528,303.95,0.036,0,1.50E+01
769,839,1631,303.05,-0.009,0.2931,1.80E+01
77,500,5930,266.25,-0.009,0.1389,1.80E+01
770,812,1915,300.35,-0.01,0.216,1.90E+01
771,795,2100,298.65,-0.009,0.1698,1.80E+01
772,781,2254,297.25,-0.009,0.4011,1.80E+01
773,735,2783,292.35,-0.009,0.0309,1.80E+01
774,719,2974,290.65,-0.009,0,1.80E+01
775,704,3158,288.95,-0.009,0.0771,1.80E+01
776,700,3206,288.75,-0.004,0,1.70E+01
777,676,3499,286.45,-0.008,0.216,1.70E+01
778,653,3790,284.15,-0.008,0.108,1.80E+01
779,645,3893,283.35,-0.008,0,1.80E+01
78,466,6473,260.65,-0.01,0.0309,2.00E+01
780,525,5559,267.65,-0.009,0.0309,1.80E+01
781,512,5755,265.85,-0.009,0,1.80E+01
782,503,5894,264.65,-0.009,0.4476,1.80E+01
783,500,5940,264.25,-0.009,0.3396,1.80E+01
784,499,5955,264.25,0,0,1.60E+01
785,493,6049,266.45,0.023,0,1.50E+01
786,429,7114,261.15,-0.005,0.0618,1.70E+01
787,423,7222,260.55,-0.006,0.432,1.70E+01
788,400,7650,258.45,-0.005,0.108,1.70E+01
789,392,7801,257.75,-0.005,0.2007,1.70E+01
79,465,6489,260.65,0,0,1.60E+01
790,376,8114,256.25,-0.005,0.0462,1.70E+01
791,361,8419,254.85,-0.005,0.108,1.70E+01
792,356,8523,254.35,-0.005,0.1542,1.70E+01
793,347,8715,253.45,-0.005,0,1.70E+01
794,328,9127,250.65,-0.007,0.0309,1.80E+01
795,311,9517,248.05,-0.007,0.0771,1.80E+01
796,304,9683,246.95,-0.007,0,1.80E+01
797,300,9780,246.25,-0.007,0.4785,1.70E+01
798,270,10525,240.35,-0.008,0.0462,1.80E+01
799,257,10875,237.55,-0.008,0.1389,1.80E+01
8,850,1484,300.15,-0.008,0,1.80E+01
80,459,6588,259.75,-0.009,0.7869,1.80E+01
800,250,11070,236.05,-0.008,0,1.80E+01
801,227,11722,230.95,-0.008,0.0462,1.80E+01
802,210,12248,226.85,-0.008,0.0309,1.80E+01
803,1000,36,302.55,0.058,3.21,1.00E+01
804,999,45,304.15,0.178,0,1.30E+01
805,995,81,309.35,0.144,0.432,1.30E+01
806,974,276,311.75,0.012,0.2316,1.50E+01
807,964,371,311.75,0,0.1698,1.60E+01
808,956,447,311.75,0,0.2007,1.60E+01
809,925,748,309.35,-0.008,0.3087,1.70E+01
81,458,6605,259.65,-0.006,0.9105,1.60E+01
810,915,846,308.75,-0.006,0.3087,1.60E+01
811,870,1301,305.75,-0.007,0.0309,1.70E+01
812,850,1509,303.75,-0.01,0,1.90E+01
813,798,2058,298.65,-0.009,0.0309,1.80E+01
814,724,2905,290.75,-0.009,0.2622,1.80E+01
815,712,3051,289.35,-0.01,0.5247,1.90E+01
